flag_SF,target,src_bytes,dst_host_diff_srv_rate,dst_host_same_srv_rate,dst_host_same_src_port_rate,dst_bytes,service_private,service_domain_u,dst_host_serror_rate,srv_serror_rate,srv_diff_host_rate,srv_count,dst_host_count,dst_host_srv_count,dst_host_srv_serror_rate,logged_in,diff_srv_rate,count,service_http,level,serror_rate,dst_host_srv_diff_host_rate,flag_S0,same_srv_rate,dst_host_srv_rerror_rate
False,0,1,0.0,1.0,0.01,81,False,False,0.0,0.0,0.0,19,71,254,0.0,0,0.0,1,True,20,0.0,0.13,False,1.0,0.0
True,0,973,0.0,1.0,0.06,242,False,False,0.0,0.0,0.0,1,255,255,0.0,1,0.0,14,True,21,0.0,0.03,False,1.0,0.0
True,0,274,0.03,0.96,0.25,25887,False,False,0.0,0.0,0.0,4,137,104,0.03,1,0.0,2,True,21,0.0,0.02,False,1.0,0.0
False,1,0,1.0,0.02,0.0,0,False,False,1.0,1.0,0.0,1,255,4,1.0,0,0.07,215,False,18,1.0,0.0,True,0.03,0.0
True,0,224,0.0,1.0,0.01,0,False,False,0.0,0.0,0.12,26,255,255,0.0,1,0.0,6,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.05,0.1,0.0,0,True,False,1.0,1.0,0.0,12,255,25,1.0,0,0.06,205,False,21,1.0,0.0,True,0.07,0.0
True,0,1032,0.05,0.15,0.0,1640,False,False,0.0,0.0,1.0,3,12,39,0.0,1,0.0,1,False,14,0.0,0.0,False,1.0,0.0
False,1,0,0.74,0.0,0.0,0,False,False,1.0,1.0,0.0,1,255,1,1.0,0,0.0,113,False,18,1.0,0.0,True,0.01,0.0
True,0,147,0.03,0.48,0.12,2698,False,False,0.0,0.0,0.0,3,56,31,0.0,1,0.0,1,False,18,0.0,0.01,False,1.0,0.0
False,1,0,0.08,0.03,0.0,0,False,False,1.0,1.0,0.0,3,255,8,1.0,0,0.06,127,False,21,1.0,0.0,True,0.05,0.0
False,1,0,0.65,0.0,0.0,0,False,False,1.0,1.0,0.0,17,255,1,1.0,0,0.05,238,False,18,1.0,0.0,True,0.02,0.0
False,1,0,0.07,0.04,0.0,0,False,False,0.0,0.0,0.0,13,255,9,0.0,0,0.06,1,False,20,0.0,0.0,False,0.03,1.0
False,1,0,0.0,0.01,0.0,0,False,False,1.0,1.0,0.0,34,255,255,1.0,0,0.47,53,True,18,1.0,0.0,True,0.06,0.0
True,0,195,0.0,1.0,0.02,487,False,False,0.0,0.0,0.33,7,255,255,0.0,1,0.0,4,True,21,0.0,0.04,False,1.0,0.0
False,1,0,0.07,0.07,0.02,0,False,False,1.0,1.0,0.0,1,75,18,1.0,0,0.06,203,False,20,1.0,0.0,True,0.13,0.0
True,0,78,0.0,1.0,0.01,0,False,False,0.0,0.0,0.09,16,79,255,0.0,1,0.0,17,True,21,0.0,0.05,False,1.0,0.0
True,0,335,0.0,1.0,0.04,439,False,False,0.0,0.0,0.0,18,21,255,0.0,1,0.0,8,True,21,0.0,0.03,False,1.0,0.0
True,0,146,0.0,1.0,0.0,5062,False,False,0.0,0.04,0.0,10,255,214,0.0,1,0.0,5,True,21,0.0,0.03,False,1.0,0.0
False,1,0,0.07,0.06,0.0,0,True,False,1.0,1.0,0.0,19,255,15,1.0,0,0.05,244,False,21,1.0,0.0,True,0.15,0.0
False,1,0,0.03,0.24,0.01,105,False,False,1.0,1.0,0.0,7,255,60,1.0,0,1.0,238,False,18,1.0,0.0,True,0.05,0.0
True,1,8,0.02,0.0,0.35,0,False,False,0.11,0.0,0.0,8,2,1,0.0,0,0.0,100,False,18,0.0,0.0,False,1.0,0.0
True,0,258,0.0,1.0,0.0,2563,False,False,0.0,0.0,0.0,5,255,255,0.0,1,0.0,6,True,21,0.0,0.03,False,1.0,0.0
True,0,271,0.02,0.34,0.05,2088,False,False,0.5,0.0,1.0,1,255,86,0.0,1,0.0,1,False,21,0.0,0.01,False,1.0,0.0
False,1,0,0.04,0.02,0.0,0,False,False,1.0,1.0,0.0,1,255,6,1.0,0,0.06,229,False,18,1.0,0.0,True,0.12,0.0
False,1,0,0.06,0.03,0.0,0,True,False,1.0,1.0,0.0,1,255,7,1.0,0,0.0,147,False,21,1.0,0.0,True,1.0,0.0
False,1,0,0.07,0.02,0.0,0,False,False,1.0,1.0,0.0,13,255,4,1.0,0,0.07,149,False,21,1.0,0.0,True,0.11,0.0
False,1,0,0.05,0.02,0.0,0,True,False,0.05,0.0,0.0,3,182,5,1.0,0,0.0,75,False,21,0.16,0.0,False,1.0,1.0
True,0,217,0.0,1.0,0.04,3610,False,False,0.0,0.0,0.22,8,255,255,0.0,1,0.0,1,True,21,0.0,0.03,False,1.0,0.0
False,1,0,0.09,0.0,0.0,0,False,False,1.0,1.0,0.0,45,255,1,1.0,0,0.07,248,False,18,1.0,0.0,True,0.02,0.0
False,0,18980,0.0,1.0,0.33,392,False,False,0.0,0.0,0.0,2,175,158,0.0,1,0.0,16,True,18,0.0,0.0,False,1.0,1.0
False,1,0,0.03,0.04,0.0,0,False,False,0.0,0.0,0.0,5,255,9,0.0,0,0.06,7,False,18,0.17,0.0,False,0.06,1.0
True,0,240,0.0,1.0,0.0,281,False,False,0.0,0.06,0.1,18,54,255,0.0,1,0.0,18,True,21,0.0,0.0,False,1.0,0.0
False,1,0,0.08,0.04,1.0,0,False,False,0.24,0.0,0.0,2,255,9,0.0,0,0.07,275,False,20,0.0,0.0,False,0.03,1.0
False,1,0,0.07,0.04,0.0,145,False,False,1.0,1.0,0.0,1,62,11,1.0,0,0.06,130,False,19,1.0,0.0,True,0.05,0.0
True,0,146,0.02,0.79,0.0,1787,False,False,0.0,0.0,0.0,2,100,201,0.0,1,0.0,1,False,18,0.0,0.0,False,1.0,0.0
True,0,241,0.0,1.0,0.0,255,False,False,0.01,0.0,0.29,1,255,255,0.0,1,0.0,19,True,21,0.0,0.0,False,1.0,0.0
True,0,73,0.11,0.75,0.01,145,False,True,0.0,0.0,0.03,113,8,50,0.01,0,1.0,148,False,20,0.0,0.4,False,0.25,0.0
True,0,235,0.0,1.0,0.0,8315,False,False,0.01,0.0,0.0,20,146,255,0.0,1,0.0,3,True,21,0.0,0.02,False,1.0,0.0
False,1,0,0.05,0.09,0.0,0,False,False,1.0,1.0,0.0,13,255,23,1.0,0,0.05,275,False,19,1.0,0.0,True,0.05,0.0
True,1,8,0.0,1.0,0.01,253,False,False,0.0,0.0,0.0,28,255,255,0.0,1,0.0,19,True,11,0.0,0.0,False,1.0,0.0
True,1,8,0.0,1.0,1.0,325,False,False,0.0,0.0,0.0,20,255,255,0.0,1,0.0,37,True,9,0.0,0.0,False,1.0,0.0
True,0,284,0.0,1.0,0.0,757,False,False,0.0,0.0,0.0,1,137,75,0.0,1,0.0,1,False,20,0.0,0.5,False,1.0,0.0
False,1,0,0.0,0.01,0.02,48,False,False,1.0,1.0,0.0,36,255,255,1.0,0,0.05,299,True,17,1.0,0.0,True,0.07,0.0
True,0,222,0.07,0.42,0.09,1617,False,False,0.0,0.0,0.0,9,255,98,0.0,1,0.0,2,False,20,0.0,0.03,False,1.0,0.0
True,0,334,0.0,1.0,0.03,731,False,False,0.0,0.0,0.0,20,116,155,0.0,1,0.0,1,False,21,0.0,0.02,False,1.0,0.0
False,1,0,0.08,0.05,0.0,0,False,False,1.0,1.0,0.0,38,255,13,1.0,0,0.06,204,False,19,1.0,0.0,True,0.07,0.0
True,0,335,0.03,0.65,0.0,335,False,False,0.0,0.0,1.0,3,255,60,0.0,1,0.0,1,False,18,0.0,0.01,False,1.0,0.0
True,0,12840,0.01,1.0,0.0,238,False,False,0.0,0.0,0.36,1,128,7,0.0,1,0.0,6,True,21,0.0,0.0,False,1.0,0.0
False,1,1,0.06,0.09,0.0,0,False,False,0.0,0.0,0.0,2,255,24,0.0,0,0.21,110,False,20,0.0,0.0,False,0.05,1.0
True,0,374,0.0,1.0,0.02,433,False,False,0.0,0.0,0.0,5,169,255,0.0,1,0.0,23,True,21,0.0,0.04,False,1.0,0.0
True,0,217,0.0,1.0,0.0,402,False,False,0.0,0.0,0.0,20,39,255,0.0,1,0.0,18,True,21,0.0,0.05,False,1.0,0.0
True,0,287,0.0,1.0,0.0,904,False,False,0.0,0.0,0.0,25,55,255,0.0,1,0.0,16,True,21,0.0,0.0,False,1.0,0.0
True,0,1353,0.0,1.0,0.0,7656,False,False,0.0,0.0,0.6,1,147,255,0.0,1,0.0,3,True,21,0.0,0.02,False,1.0,0.0
False,1,0,0.07,0.05,0.0,133,False,False,1.0,1.0,0.0,8,255,12,1.0,0,0.07,135,False,20,1.0,0.0,True,0.04,0.0
True,0,904,0.01,0.93,0.0,560,False,False,0.0,0.0,0.5,5,221,158,0.01,1,0.0,1,True,21,0.0,0.06,False,1.0,0.0
True,0,219,0.0,1.0,0.0,940,False,False,0.0,0.0,0.0,2,255,255,0.0,1,0.67,4,True,21,0.0,0.03,False,0.67,0.0
True,0,214,0.0,1.0,0.02,505,False,False,0.0,0.0,0.0,1,85,129,0.0,1,0.0,2,False,21,0.0,0.05,False,1.0,0.0
False,1,0,0.07,0.09,0.51,0,False,False,0.0,0.0,0.0,3,255,23,0.0,0,0.05,2,False,15,0.0,0.0,False,0.09,1.0
True,1,42,0.7,0.03,0.16,0,True,True,0.0,0.0,0.0,149,255,8,0.0,0,0.0,2,False,18,0.0,0.5,False,1.0,0.0
False,1,0,0.08,0.0,0.0,0,False,False,0.0,0.0,0.0,3,255,1,0.0,0,0.06,1,False,15,0.0,0.0,False,0.04,1.0
True,0,1150,0.0,1.0,0.02,2745,False,False,0.0,0.0,0.0,8,1,255,0.0,1,0.0,1,True,21,0.0,0.02,False,1.0,0.0
False,1,0,0.06,0.04,1.0,42,False,False,0.0,0.0,0.0,16,255,11,0.0,0,0.07,237,False,19,0.0,0.0,False,0.06,1.0
True,0,520,0.01,0.64,0.45,356,False,False,0.0,0.0,0.0,4,59,66,0.0,1,0.0,1,False,20,0.0,0.01,False,1.0,0.0
True,0,95,0.01,0.98,0.01,0,False,True,0.0,0.0,0.0,234,50,251,0.0,0,0.0,1,False,18,0.0,0.0,False,1.0,0.0
True,1,43,0.09,0.02,1.0,0,True,True,0.0,0.0,0.02,198,86,6,0.0,0,0.0,1,False,16,0.0,0.5,False,1.0,0.0
False,1,0,0.06,0.05,0.0,0,True,False,1.0,1.0,0.0,2,255,12,1.0,0,0.06,250,False,21,1.0,0.0,True,0.07,0.0
True,0,307,0.01,1.0,0.0,8844,False,False,0.0,0.0,0.25,7,81,255,0.01,1,0.0,1,True,21,0.0,0.07,False,1.0,0.09
False,1,1,0.05,0.04,0.0,0,False,False,1.0,1.0,0.0,2,127,11,1.0,0,0.07,87,False,19,1.0,0.0,True,0.07,0.0
True,0,105,0.0,0.01,0.01,42,False,False,0.0,0.0,0.0,2,255,26,0.0,0,0.0,511,False,21,0.0,0.0,False,1.0,0.0
True,0,1452,0.15,0.8,0.11,292,False,False,0.0,0.0,0.0,1,37,8,0.0,1,0.0,1,False,19,0.0,0.02,False,1.0,0.0
False,1,0,0.07,0.04,0.0,0,False,False,1.0,1.0,0.0,12,36,11,1.0,0,0.08,68,False,18,1.0,0.0,True,0.03,0.0
False,1,0,0.07,0.07,0.0,0,False,False,0.0,0.0,0.0,8,255,19,0.0,0,0.5,172,False,15,0.0,0.0,False,0.12,0.0
True,0,1563,0.0,1.0,0.01,2126,False,False,0.0,0.0,0.0,1,255,162,0.0,1,0.0,1,False,21,0.0,0.01,False,1.0,0.0
True,0,304,0.0,1.0,0.0,6224,False,False,0.0,0.0,0.0,2,255,255,0.0,1,0.0,14,True,21,0.0,0.02,False,1.0,0.0
True,0,147,0.0,1.0,0.17,1512,False,False,0.0,0.0,0.1,45,32,255,0.0,1,0.0,3,True,21,0.0,0.0,False,1.0,0.0
True,1,1,0.0,1.0,0.49,0,False,False,0.0,0.0,0.0,2,255,255,0.0,0,0.0,224,False,16,0.0,0.0,False,1.0,0.0
True,0,45,0.33,0.67,0.87,0,False,True,0.0,0.0,0.0,1,255,162,0.0,0,0.0,1,False,18,0.0,0.0,False,1.0,0.0
False,1,0,1.0,0.0,0.0,0,False,False,1.0,1.0,0.0,7,255,1,1.0,0,0.07,125,False,18,1.0,0.0,True,0.08,0.0
True,0,217,0.0,0.01,0.0,6659,False,False,0.0,0.0,0.33,367,97,254,0.0,1,0.0,5,True,21,0.0,0.0,False,1.0,0.0
True,0,1211,0.64,0.32,0.0,0,False,False,0.01,0.0,0.0,2,52,44,0.0,1,0.0,1,False,20,0.0,0.0,False,1.0,0.0
False,0,0,0.0,1.0,0.02,131,False,False,0.02,0.0,0.0,14,1,47,0.0,0,0.0,1,False,9,1.0,0.02,False,1.0,1.0
True,0,292,0.0,1.0,0.0,0,False,False,0.0,0.0,0.0,18,255,82,0.0,1,0.0,1,False,20,0.0,0.01,False,1.0,0.18
True,1,1,0.14,0.38,0.85,0,True,False,0.0,0.0,0.0,2,1,44,0.0,0,0.0,1,False,14,0.0,0.5,False,1.0,0.0
True,0,918,0.0,1.0,0.04,0,False,False,0.0,0.0,0.0,17,255,66,0.0,1,0.0,2,False,21,0.0,0.0,False,1.0,0.0
False,1,0,0.07,0.04,0.0,0,True,False,1.0,1.0,0.0,4,84,11,1.0,0,0.06,146,False,21,1.0,0.0,True,0.07,0.0
False,1,0,0.09,0.03,0.0,0,False,False,1.0,1.0,0.0,12,255,1,1.0,0,0.07,196,False,20,1.0,0.0,True,0.04,0.0
False,1,0,0.04,0.22,0.0,0,True,False,1.0,1.0,0.0,13,112,66,0.48,0,0.06,126,False,21,1.0,0.0,True,0.12,0.0
True,1,2402,0.0,1.0,0.14,330,False,False,0.0,0.0,0.0,9,255,255,0.0,1,0.0,6,True,12,0.0,0.0,False,1.0,0.0
True,1,1,0.0,1.0,0.97,0,False,False,0.0,0.0,1.0,1,55,255,0.0,0,0.0,2,False,15,0.0,0.0,False,1.0,0.0
True,0,1032,0.0,1.0,0.0,1445,False,False,0.0,0.0,0.0,22,174,243,0.0,1,0.0,5,False,20,0.0,0.0,False,1.0,0.0
True,0,249,0.0,1.0,0.18,19000,False,False,0.0,0.0,1.0,3,48,192,0.02,1,0.0,2,False,20,0.0,0.0,False,1.0,0.0
False,1,0,0.07,0.05,0.01,0,False,False,1.0,1.0,0.0,1,255,12,1.0,0,0.07,287,False,20,1.0,0.0,True,0.02,0.0
True,0,309,0.04,0.23,0.0,2610,False,False,0.0,0.0,0.0,1,1,7,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
False,1,0,0.06,0.07,0.0,0,False,False,1.0,1.0,0.0,11,255,17,1.0,0,0.07,270,False,20,1.0,0.0,True,0.03,0.0
True,0,520,0.0,1.0,0.03,191,False,False,0.0,0.0,0.0,14,255,255,0.0,1,0.0,12,True,21,0.0,0.0,False,1.0,0.0
True,0,181,0.0,1.0,0.01,285,False,False,0.0,0.0,0.0,1,255,1,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
True,0,216,0.0,1.0,0.02,4092,False,False,0.0,0.0,0.0,8,39,40,0.02,1,0.0,4,True,21,0.0,0.0,False,1.0,0.0
True,0,311,0.0,1.0,0.0,8521,False,False,0.0,0.0,0.0,2,31,255,0.0,1,0.06,36,True,21,0.0,0.03,False,0.21,0.0
True,0,275,0.02,0.53,0.01,1600,False,False,0.0,0.0,0.0,13,64,136,0.0,1,0.0,1,False,21,0.0,0.0,False,1.0,0.0
True,0,244,0.0,1.0,0.02,331,False,False,0.0,0.33,0.0,1,1,255,0.0,1,0.0,9,True,21,0.0,0.02,False,1.0,0.0
True,0,277,0.0,1.0,0.0,253,False,False,0.0,0.0,0.0,15,12,255,0.0,1,0.0,25,True,21,0.0,0.02,False,1.0,0.0
